abington;["02351"];none
acton;["01718", "01719", "01720", "01720"];Jan-01 2011
acushnet;["02743", "02745"];none
adams;["01220"];none
agawam;["01001"];none
alford;["01230", "01266"];none
amesbury;["01913"];none
amherst;["01002", "01003", "01004", "01059", "01059", "01002"];Jan-01 2012
andover;["01810", "01812", "01899", "05501", "05544"];Jan-01 2011
aquinnah;["02535"];none
arlington;["02474", "02475", "02476", "02475", "02474"];Jul-01 2011
ashburnham;["01430", "01430"];none
ashby;["01431"];none
ashfield;["01330", "01370", "01330"];Jul-01 2012
ashland;["01721"];Jan-01 2013
athol;["01331", "01368"];Jan-01 2011
attleboro;["02703", "02703"];none
auburn;["01501"];Jan-01 2013
ayer;["01432", "01434"];Jan-01 2012
barnstable;["02630", "02634", "02635", "02637", "02601", "02647", "02655", "02668", "02672"];none
barre;["01005", "01074"];Jan-01 2012
becket;["01223", "01238"];Jan-01 2011
bedford;["01730", "01731"];Jan-01 2012
belchertown;["01007", "02038", "01040", "01041", "01223"];Jan-01 2011
bellingham;["02019"];none
belmont;["02478", "02479", "02479"];Jan-01 2012
berkley;["02779"];none
berlin;["01503"];Jan-01 2012
bernardston;["01337"];none
beverly;["01915", "01915"];Jan-01 2012
billerica;["01821", "01822", "01862", "01862", "01865", "01866"];none
blackstone;["01504", "01504", "01504", "01529"];none
blandford;["01008"];none
bolton;["01740"];none
boston;["02108", "02109", "02110", "02111", "02112", "02113", "02114", "02115", "02116", "02117", "02118", "02119", "02120", "02121", "02122", "02123", "02124", "02125", "02126", "02127", "02128", "02129", "02130", "02131", "02132", "02133", "02134", "02135", "02136", "02137", "02163", "02196", "02199", "02201", "02203", "02204", "02205", "02206", "02210", "02211", "02212", "02215", "02217", "02222", "02228", "02241", "02266", "02283", "02284", "02293", "02295", "02297", "02298", "02134", "01505", "02135", "02129", "02121", "02122", "02124", "02125", "02124", "02128", "02228", "01929", "02121", "02126", "02136", "02137", "02130", "02120", "02136", "02137", "02131", "02118", "02119", "02120", "02120", "02163", "02127", "02125", "02132"];Jul-01 2011
bourne;["02532", "02559", "02532", "02542", "02553", "02559", "02561", "02562"];none
boxford;["01921", "01885"];none
boylston;["01505", "01505"];none
braintree;["02184", "02185"];none
brewster;["02631"];none
bridgewater;["02324", "02325"];Jul-01 2012
brimfield;["01010", "01010"];none
brockton;["02301", "02302", "02303", "02304", "02305"];none
brookfield;["01506"];none
brookline;["02445", "02446", "02447", "02467", "02447"];Jan-01 2011
buckland;["01338"];Jan-01 2012
burlington;["01803", "01805"];none
cambridge;["02138", "02139", "02140", "02141", "02142", "02163", "02238", "02139", "02141", "02238", "02139", "02142", "02140", "02140"];Jul-01 2010
canton;["02021"];none
carver;["02330", "02355", "02366", "02355", "02355", "02366", "01984"];none
charlemont;["01339", "01343", "01346", "01370"];none
charlton;["01507", "01508", "01509"];none
chatham;["02633", "02650", "02659", "02669"];none
chelmsford;["01824", "01863", "01824"];Jan-01 2011
chelsea;["02150", "02019"];none
cheshire;["01225"];none
chester;["01011", "01050"];none
chesterfield;["01012", "01084"];Jan-01 2012
chicopee;["01013", "01014", "01020", "01021", "01022", "01013"];none
chilmark;["02535", "02552"];none
clarksburg;["01247"];none
clinton;["01510"];none
cohasset;["02025"];none
colrain;["01340", "01340"];none
